Disease,state,year,Race,Sex,Age group,Transmission Category,Cases,turnout_rate
AIDS diagnoses,California,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4518,16.3
AIDS diagnoses,Colorado,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,277,7.6
AIDS diagnoses,Connecticut,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,550,19.5
AIDS diagnoses,Delaware,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,218,33.3
AIDS diagnoses,District of Columbia,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,720,146.8
AIDS diagnoses,Florida,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4597,33.5
AIDS diagnoses,Georgia,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1533,22.5
AIDS diagnoses,Guam,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,10,8.8
AIDS diagnoses,Hawaii,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,116,11.5
AIDS diagnoses,Idaho,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,20,1.9
AIDS diagnoses,Illinois,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1468,14.4
AIDS diagnoses,Indiana,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,357,7.1
AIDS diagnoses,Iowa,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,84,3.4
AIDS diagnoses,Kansas,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,101,4.5
AIDS diagnoses,Kentucky,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,232,6.9
AIDS diagnoses,Louisiana,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,895,24.7
AIDS diagnoses,Maine,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,34,3.1
AIDS diagnoses,Maryland,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1618,36.8
AIDS diagnoses,Massachusetts,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,718,13.4
AIDS diagnoses,Michigan,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,589,7.2
AIDS diagnoses,Minnesota,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,150,3.6
AIDS diagnoses,Mississippi,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,394,17.1
AIDS diagnoses,Missouri,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,389,8.4
AIDS diagnoses,Montana,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,12,1.6
AIDS diagnoses,Nebraska,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,74,5.3
AIDS diagnoses,Nevada,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,227,13.3
AIDS diagnoses,New Hampshire,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,34,3.2
AIDS diagnoses,New Jersey,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1716,24.6
AIDS diagnoses,New Mexico,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,102,6.8
AIDS diagnoses,New York,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,6832,43.4
AIDS diagnoses,North Carolina,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,874,12.9
AIDS diagnoses,North Dakota,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,5,0.9
AIDS diagnoses,Northern Mariana Islands,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1,1.7
AIDS diagnoses,Ohio,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,573,6.1
AIDS diagnoses,Oklahoma,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,224,7.9
AIDS diagnoses,Oregon,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,200,6.9
AIDS diagnoses,Pennsylvania,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1546,15
AIDS diagnoses,Puerto Rico,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1169,38.2
AIDS diagnoses,Rhode Island,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,97,11
AIDS diagnoses,South Carolina,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,684,20.5
AIDS diagnoses,South Dakota,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,16,2.5
AIDS diagnoses,Tennessee,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,649,13.6
AIDS diagnoses,Texas,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,2685,15.8
AIDS diagnoses,U.S. Virgin Islands,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,34,39.5
AIDS diagnoses,Utah,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,118,6.6
AIDS diagnoses,Vermont,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,15,2.9
AIDS diagnoses,Virginia,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,788,13.2
AIDS diagnoses,Washington,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,400,8.1
AIDS diagnoses,West Virginia,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,84,5.4
AIDS diagnoses,Wisconsin,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,182,4
AIDS diagnoses,Wyoming,2001,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,6,1.4
AIDS diagnoses,Alabama,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,405,11
AIDS diagnoses,Alaska,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,25,4.9
AIDS diagnoses,American Samoa,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,0,0
AIDS diagnoses,Arizona,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,493,11.2
AIDS diagnoses,Arkansas,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,211,9.4
AIDS diagnoses,California,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4809,17.1
AIDS diagnoses,Colorado,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,308,8.3
AIDS diagnoses,Connecticut,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,608,21.3
AIDS diagnoses,Delaware,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,166,25
AIDS diagnoses,District of Columbia,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1047,213
AIDS diagnoses,Florida,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4354,31.1
AIDS diagnoses,Georgia,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1666,24
AIDS diagnoses,Guam,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,6,5.2
AIDS diagnoses,Hawaii,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,109,10.6
AIDS diagnoses,Idaho,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,31,2.9
AIDS diagnoses,Illinois,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1590,15.5
AIDS diagnoses,Indiana,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,398,7.9
AIDS diagnoses,Iowa,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,76,3.1
AIDS diagnoses,Kansas,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,91,4
AIDS diagnoses,Kentucky,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,245,7.2
AIDS diagnoses,Louisiana,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,988,27.2
AIDS diagnoses,Maine,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,44,4
AIDS diagnoses,Maryland,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1593,35.7
AIDS diagnoses,Massachusetts,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,701,13
AIDS diagnoses,Michigan,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,587,7.1
AIDS diagnoses,Minnesota,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,178,4.3
AIDS diagnoses,Mississippi,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,424,18.3
AIDS diagnoses,Missouri,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,408,8.7
AIDS diagnoses,Montana,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,15,1.9
AIDS diagnoses,Nebraska,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,67,4.7
AIDS diagnoses,Nevada,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,286,16.2
AIDS diagnoses,New Hampshire,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,41,3.9
AIDS diagnoses,New Jersey,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1587,22.6
AIDS diagnoses,New Mexico,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,97,6.4
AIDS diagnoses,New York,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,5798,36.6
AIDS diagnoses,North Carolina,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1103,16.1
AIDS diagnoses,North Dakota,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,2,0.3
AIDS diagnoses,Northern Mariana Islands,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,0,0
AIDS diagnoses,Ohio,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,610,6.4
AIDS diagnoses,Oklahoma,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,201,7
AIDS diagnoses,Oregon,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,227,7.8
AIDS diagnoses,Pennsylvania,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1479,14.3
AIDS diagnoses,Puerto Rico,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1046,33.8
AIDS diagnoses,Rhode Island,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,100,11.2
AIDS diagnoses,South Carolina,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,732,21.7
AIDS diagnoses,South Dakota,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,12,1.9
AIDS diagnoses,Tennessee,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,749,15.6
AIDS diagnoses,Texas,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,2745,15.8
AIDS diagnoses,U.S. Virgin Islands,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,25,28.5
AIDS diagnoses,Utah,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,69,3.8
AIDS diagnoses,Vermont,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,18,3.5
AIDS diagnoses,Virginia,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,685,11.3
AIDS diagnoses,Washington,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,416,8.3
AIDS diagnoses,West Virginia,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,78,5.1
AIDS diagnoses,Wisconsin,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,167,3.7
AIDS diagnoses,Wyoming,2002,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,11,2.6
AIDS diagnoses,Alabama,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,463,12.5
AIDS diagnoses,Alaska,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,21,4
AIDS diagnoses,American Samoa,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,0,0
AIDS diagnoses,Arizona,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,494,10.9
AIDS diagnoses,Arkansas,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,191,8.5
AIDS diagnoses,California,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4634,16.3
AIDS diagnoses,Colorado,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,300,8
AIDS diagnoses,Connecticut,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,563,19.6
AIDS diagnoses,Delaware,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,189,28
AIDS diagnoses,District of Columbia,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,908,184.6
AIDS diagnoses,Florida,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4613,32.3
AIDS diagnoses,Georgia,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1898,26.9
AIDS diagnoses,Guam,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,3,2.5
AIDS diagnoses,Hawaii,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,96,9.2
AIDS diagnoses,Idaho,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,21,1.9
AIDS diagnoses,Illinois,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1440,14
AIDS diagnoses,Indiana,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,404,7.9
AIDS diagnoses,Iowa,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,73,3
AIDS diagnoses,Kansas,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,132,5.9
AIDS diagnoses,Kentucky,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,198,5.8
AIDS diagnoses,Louisiana,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,908,24.9
AIDS diagnoses,Maine,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,43,3.9
AIDS diagnoses,Maryland,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1655,36.6
AIDS diagnoses,Massachusetts,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,618,11.4
AIDS diagnoses,Michigan,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,612,7.4
AIDS diagnoses,Minnesota,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,200,4.8
AIDS diagnoses,Mississippi,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,418,17.9
AIDS diagnoses,Missouri,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,392,8.3
AIDS diagnoses,Montana,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,9,1.1
AIDS diagnoses,Nebraska,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,65,4.5
AIDS diagnoses,Nevada,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,253,13.9
AIDS diagnoses,New Hampshire,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,43,4
AIDS diagnoses,New Jersey,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1387,19.6
AIDS diagnoses,New Mexico,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,120,7.8
AIDS diagnoses,New York,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,6502,40.8
AIDS diagnoses,North Carolina,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1206,17.4
AIDS diagnoses,North Dakota,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,12,2.2
AIDS diagnoses,Northern Mariana Islands,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,0,0
AIDS diagnoses,Ohio,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,800,8.4
AIDS diagnoses,Oklahoma,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,196,6.8
AIDS diagnoses,Oregon,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,228,7.7
AIDS diagnoses,Pennsylvania,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1393,13.4
AIDS diagnoses,Puerto Rico,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1063,34
AIDS diagnoses,Rhode Island,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,100,11.1
AIDS diagnoses,South Carolina,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,741,21.6
AIDS diagnoses,South Dakota,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,15,2.4
AIDS diagnoses,Tennessee,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,718,14.8
AIDS diagnoses,Texas,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,2807,15.9
AIDS diagnoses,U.S. Virgin Islands,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,28,31.8
AIDS diagnoses,Utah,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,65,3.5
AIDS diagnoses,Vermont,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,17,3.3
AIDS diagnoses,Virginia,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,689,11.3
AIDS diagnoses,Washington,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,435,8.6
AIDS diagnoses,West Virginia,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,80,5.2
AIDS diagnoses,Wisconsin,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,167,3.6
AIDS diagnoses,Wyoming,2003,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,13,3.1
AIDS diagnoses,Alabama,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,455,12.2
AIDS diagnoses,Alaska,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,35,6.6
AIDS diagnoses,American Samoa,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,0,0
AIDS diagnoses,Arizona,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,478,10.2
AIDS diagnoses,Arkansas,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,182,8
AIDS diagnoses,California,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,4161,14.4
AIDS diagnoses,Colorado,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,298,7.8
AIDS diagnoses,Connecticut,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,497,17.2
AIDS diagnoses,Delaware,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,150,21.9
AIDS diagnoses,District of Columbia,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,831,167.7
AIDS diagnoses,Florida,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,5224,35.7
AIDS diagnoses,Georgia,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,2077,28.8
AIDS diagnoses,Guam,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,2,1.7
AIDS diagnoses,Hawaii,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,76,7.3
AIDS diagnoses,Idaho,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,20,1.8
AIDS diagnoses,Illinois,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1387,13.4
AIDS diagnoses,Indiana,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,368,7.2
AIDS diagnoses,Iowa,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,73,2.9
AIDS diagnoses,Kansas,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,103,4.6
AIDS diagnoses,Kentucky,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,224,6.5
AIDS diagnoses,Louisiana,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,889,24.3
AIDS diagnoses,Maine,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,42,3.8
AIDS diagnoses,Maryland,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,1636,35.8
AIDS diagnoses,Massachusetts,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,698,12.9
AIDS diagnoses,Michigan,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,575,6.9
AIDS diagnoses,Minnesota,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,265,6.3
AIDS diagnoses,Mississippi,2004,All races/ethnicities,Both sexes,Adults and adolescents,All transmission categories,464,19.7
