year,ICPSR_State_Code,order,state,,vep_highest_office_rate,vep_total_ballots_turnoutRate,vap_turnout_rate,turnout_rate,winner,,voting_age_pop,percent_non_citizen,prison_pop,probation_pop,parole_pop,ineligible_felons_total,overseas_eligible_pop,voting_eligible_pop,highest_office_voters,total_turnout
2010,82,12,Hawaii,HI,39.90%,40.20%,0.36,36,,,"1,062,593",9.20%,"5,912",0,0,"5,912","20,090","958,994","382,563","385,385"
2010,63,13,Idaho,ID,42.10%,42.80%,0.39,39.4,,,"1,147,210",4.40%,"7,431","13,721","3,957","23,131","26,779","1,073,811","452,535","459,079"
2010,21,14,Illinois,IL,42.50%,43.20%,0.38,38.3,,,"9,735,944",9.30%,"48,418",0,0,"48,418","200,530","8,779,902","3,729,989","3,792,770"
2010,22,15,Indiana,IN,37.10%,38.00%,0.36,35.6,,,"4,896,656",3.40%,"28,028",0,0,"28,028","89,605","4,701,219","1,744,481","1,786,213"
2010,31,16,Iowa,IA,50.00%,50.80%,0.48,47.9,,,"2,328,262",3.30%,"9,455","8,862","3,197","19,916","43,108","2,231,747","1,116,063","1,133,429"
2010,32,17,Kansas,KS,41.70%,,0.39,39.2,,,"2,137,815",5.20%,"9,051","3,704","5,063","15,287","42,495","2,010,386","838,790",
2010,51,18,Kentucky,KY,42.40%,44.20%,0.41,40.7,,,"3,332,204",2.50%,"20,544","25,688","14,628","53,546","58,518","3,196,785","1,356,468","1,411,695"
2010,45,19,Louisiana,LA,39.00%,40.00%,0.37,36.8,,,"3,438,247",2.90%,"39,445","42,599","26,202","95,145","68,285","3,244,896","1,264,994","1,297,150"
2010,2,20,Maine,ME,55.20%,,0.54,54.3,,,"1,055,605",1.60%,0,0,0,0,"21,362","1,038,516","572,766","580,538"
2010,52,21,Maryland,MD,46.50%,,0.42,41.8,,,"4,449,617",8.90%,"22,645","26,164","13,195","55,407","77,074","3,997,423","1,857,880",
2010,3,22,Massachusetts,MA,49.20%,49.70%,0.45,44.6,,,"5,152,976",9.10%,"11,312",0,0,"11,312","77,830","4,671,448","2,297,039","2,319,963"
2010,23,23,Michigan,MI,44.50%,45.10%,0.43,42.7,,,"7,555,742",3.50%,"44,113",0,0,"44,113","163,673","7,249,631","3,226,088","3,268,217"
2010,33,24,Minnesota,MN,55.40%,55.80%,0.52,52.1,,,"4,041,199",4.50%,"9,796","42,661","5,807","55,361","70,063","3,804,746","2,107,021","2,123,369"
2010,46,25,Mississippi,MS,37.00%,,0.36,35.5,,,"2,220,094",1.70%,"21,067","26,793","6,434","51,077","45,082","2,132,203","788,549",
2010,34,26,Missouri,MO,44.50%,,0.42,42.4,,,"4,581,260",2.60%,"30,623","54,916","19,421","95,250","96,710","4,368,447","1,943,899",
2010,64,27,Montana,MT,47.50%,48.30%,0.47,46.8,,,"770,601",1.00%,"3,716",0,0,"3,716","22,898","759,406","360,341","367,096"
2010,35,28,Nebraska,NE,37.30%,38.00%,0.36,35.5,,,"1,375,023",4.20%,"4,587","4,080",941,"9,138","27,311","1,308,629","487,988","497,248"
2010,65,29,Nevada,NV,41.10%,41.20%,0.35,35.3,,,"2,046,400",13.10%,"12,653","8,067","4,964","23,202","45,656","1,755,237","721,404","723,515"
2010,4,30,New Hampshire,NH,45.60%,46.10%,0.44,44.2,,,"1,033,023",2.80%,"2,761",0,0,"2,761","25,558","1,000,922","456,588","461,423"
2010,12,31,New Jersey,NJ,36.40%,37.80%,0.31,31.4,,,"6,750,869",12.40%,"25,007","57,517","15,563","90,306","110,559","5,823,268","2,121,584","2,200,974"
2010,66,32,New Mexico,NM,42.80%,43.10%,0.39,38.8,,,"1,552,212",7.70%,"6,659","14,855","3,146","23,087","31,444","1,408,950","602,827","607,700"
2010,13,33,New York,NY,35.50%,36.30%,0.31,30.8,,,"15,111,583",12.60%,"56,656",0,"48,542","80,927","263,787","13,121,437","4,658,586","4,756,679"
2010,47,34,North Carolina,NC,39.20%,39.80%,0.36,36.4,,,"7,310,093",6.10%,"40,116","36,740","3,621","78,667","133,483","6,785,122","2,660,079","2,700,383"
2010,36,35,North Dakota,ND,46.20%,46.60%,0.45,45.3,,,"527,497",1.70%,"1,487",0,0,"1,487","11,179","517,285","238,812","240,876"
2010,24,36,Ohio,OH,45.00%,46.20%,0.44,43.6,,,"8,826,908",2.40%,"51,712",0,0,"51,712","174,703","8,566,254","3,852,453","3,956,028"
2010,53,37,Oklahoma,OK,38.80%,,0.36,36.4,,,"2,839,030",4.30%,"26,252","20,601","2,627","48,167","57,046","2,669,244","1,034,767",
2010,72,38,Oregon,OR,52.60%,53.90%,0.49,48.7,,,"2,984,806",7.00%,"14,014",0,0,"14,014","63,480","2,761,308","1,453,548","1,487,210"
2010,14,39,Pennsylvania,PA,41.70%,,0.4,40.1,,,"9,946,290",3.30%,"51,264",0,0,"51,264","203,791","9,564,983","3,987,551",
2010,5,40,Rhode Island,RI,44.90%,,0.41,41.2,,,"829,913",7.70%,"3,357",0,0,"3,357","13,827","762,392","342,290",
2010,48,41,South Carolina,SC,39.70%,40.30%,0.38,37.6,,,"3,571,250",3.80%,"23,578","21,144","6,412","47,928","72,241","3,385,906","1,344,198","1,365,480"
2010,37,42,South Dakota,SD,52.80%,53.80%,0.52,51.5,,,"616,113",1.70%,"3,434",0,"2,843","4,856","20,144","600,669","317,083","323,410"
2010,54,43,Tennessee,TN,34.60%,,0.33,32.8,,,"4,878,724",3.50%,"27,451","52,178","12,157","85,708","127,930","4,622,929","1,601,549",
2010,49,44,Texas,TX,32.20%,,0.27,26.9,,,"18,487,369",13.70%,"173,649","247,136","104,763","473,167","549,216","15,482,597","4,979,870",
2010,67,45,Utah,UT,36.20%,36.70%,0.34,33.6,,,"1,914,974",6.80%,"6,807",0,0,"6,807","31,783","1,778,042","643,307","653,274"
2010,6,46,Vermont,VT,49.40%,49.80%,0.49,48.5,,,"498,254",1.90%,0,0,0,0,"10,546","488,933","241,605","243,617"
2010,40,47,Virginia,VA,38.80%,39.20%,0.35,35.4,,,"6,194,717",7.20%,"37,410","56,654","2,624","95,376","124,689","5,650,683","2,189,841","2,214,503"
2010,73,48,Washington,WA,53.10%,54.30%,0.48,48.4,,,"5,190,736",8.20%,"18,235","15,452","6,956","37,165","138,296","4,727,602","2,511,094","2,565,589"
2010,56,49,West Virginia,WV,36.70%,,0.36,36.1,,,"1,468,812",0.80%,"6,681","6,650","1,796","14,229","33,788","1,443,232","529,948",
2010,25,50,Wisconsin,WI,52.00%,,0.5,49.7,,,"4,365,214",3.10%,"22,724","22,602","19,572","55,112","78,721","4,174,664","2,171,331",
2010,68,51,Wyoming,WY,45.20%,45.70%,0.44,43.8,,,"430,673",1.80%,"2,112","3,231",682,"5,684","13,832","417,384","188,463","190,822"
2008,0,0,United States,USA,61.60%,62.20%,0.57,56.9,,,"230,872,030",8.40%,"1,605,448","2,451,085","627,680","3,144,831","4,972,217","213,313,508","131,304,731","132,653,958"
2008,41,1,Alabama,AL,60.80%,61.00%,0.58,58.4,R,,"3,595,708",2.20%,"30,508","53,252","8,042","61,155","74,079","3,454,510","2,099,819","2,105,622"
2008,81,2,Alaska,AK,68.00%,68.30%,0.64,64.3,R,,"507,645",3.70%,"5,014","6,708","1,732","9,234","60,686","479,429","326,197","327,341"
2008,61,3,Arizona,AZ,56.70%,57.40%,0.49,49.1,R,,"4,673,718",11.60%,"39,589","82,232","7,534","84,472","90,036","4,046,075","2,293,475","2,320,851"
2008,42,4,Arkansas,AR,52.50%,52.90%,0.5,50,R,,"2,174,846",2.90%,"14,716","31,169","19,908","40,255","43,963","2,071,563","1,086,617","1,095,958"
2008,71,5,California,CA,60.90%,61.70%,0.5,49.5,D,,"27,411,094",17.90%,"173,670",0,"120,753","234,047","486,207","22,261,504","13,561,900","13,743,177"
2008,62,6,Colorado,CO,71.00%,71.60%,0.65,64.7,D,,"3,708,955",8.00%,"23,274",0,"11,654","29,101","71,854","3,382,959","2,401,361","2,422,236"
2008,1,7,Connecticut,CT,66.60%,,0.6,60.4,D,,"2,725,917",8.50%,"20,661",0,"2,328","21,825","45,799","2,471,082","1,646,792",
2008,11,8,Delaware,DC,65.60%,65.80%,0.61,60.6,D,,"680,493",5.30%,"7,075","17,216",551,"15,959","12,658","628,200","412,398","413,562"
2008,55,9,District of Columbia,DE,61.50%,61.70%,0.55,55.2,D,,"481,971",10.30%,0,0,0,0,"6,916","432,566","265,853","266,871"
2008,43,10,Florida,FL,66.10%,66.60%,0.58,57.6,D,,"14,558,436",11.20%,"102,388","279,760","4,528","244,532","451,907","12,687,407","8,390,744","8,453,743"
2008,44,11,Georgia,GA,62.50%,62.70%,0.56,55.6,R,,"7,063,638",7.30%,"52,719","397,081","23,448","262,984","141,001","6,281,872","3,924,440","3,940,705"
2008,82,12,Hawaii,HI,48.80%,49.00%,0.44,43.8,D,,"1,036,088",9.70%,"5,955",0,0,"5,955","20,090","930,067","453,568","456,064"
2008,63,13,Idaho,ID,63.60%,64.80%,0.59,58.6,R,,"1,117,842",4.90%,"7,290","49,513","3,361","33,727","26,779","1,029,416","655,032","667,506"
2008,21,14,Illinois,IL,63.60%,64.30%,0.57,57.4,D,,"9,615,700",9.20%,"45,474",0,0,"45,474","200,530","8,681,138","5,523,051","5,578,195"
2008,22,15,Indiana,IN,59.10%,60.30%,0.57,57,D,,"4,826,231",3.00%,"28,322",0,0,"28,322","89,605","4,653,019","2,751,054","2,805,986"
2008,31,16,Iowa,IA,69.40%,69.70%,0.67,66.9,D,,"2,298,515",2.60%,"8,766","22,958","3,159","21,825","43,108","2,216,094","1,537,123","1,543,662"
2008,32,17,Kansas,KS,62.00%,63.50%,0.59,58.8,R,,"2,100,084",4.20%,"8,539","16,263","4,958","19,150","42,495","1,991,759","1,235,872","1,264,208"
2008,51,18,Kentucky,KY,57.90%,59.00%,0.56,55.7,R,,"3,277,617",2.20%,"21,706","51,035","12,277","53,362","58,518","3,152,629","1,826,508","1,858,578"
2008,45,19,Louisiana,LA,61.20%,61.80%,0.59,58.7,R,,"3,342,279",2.00%,"38,381","40,025","24,636","70,712","68,285","3,205,794","1,960,761","1,979,852"
2008,2,20,Maine,ME,70.60%,71.80%,0.7,69.6,D,,"1,049,816",1.30%,0,0,0,0,"21,362","1,036,242","731,163","744,456"
2008,52,21,Maryland,MD,67.00%,67.80%,0.61,60.6,D,,"4,342,850",7.80%,"23,324","96,360","13,220","78,114","77,074","3,925,117","2,631,596","2,661,905"
2008,3,22,Massachusetts,MA,66.80%,67.30%,0.61,60.9,D,,"5,058,035",8.60%,"11,408",0,0,"11,408","77,830","4,612,550","3,080,985","3,102,995"
2008,23,23,Michigan,MI,69.20%,69.70%,0.66,66.4,D,,"7,528,460",3.30%,"48,738",0,0,"48,738","163,673","7,229,512","5,001,766","5,039,080"
2008,33,24,Minnesota,MN,77.80%,78.10%,0.73,73.2,D,,"3,975,974",4.00%,"9,910","127,627","5,081","76,264","70,063","3,740,142","2,910,369","2,921,147"
2008,46,25,Mississippi,MS,61.00%,,0.59,58.9,R,,"2,190,402",1.90%,"22,754","22,267","2,922","35,349","45,082","2,113,347","1,289,856",
2008,34,26,Missouri,MO,67.60%,69.10%,0.65,64.9,R,,"4,507,688",2.50%,"30,186","57,360","20,683","69,208","96,710","4,327,572","2,925,205","2,992,023"
2008,64,27,Montana,MT,66.30%,67.10%,0.65,65.1,R,,"755,384",1.30%,"3,545",0,0,"3,545","22,898","741,853","491,960","497,599"
2008,35,28,Nebraska,NE,62.90%,63.70%,0.59,59.4,R,,"1,348,048",4.30%,"4,520","19,606",846,"14,746","27,311","1,274,719","801,281","811,923"
2008,65,29,Nevada,NV,57.00%,57.20%,0.48,48.4,D,,"2,000,277",14.10%,"12,743","13,337","3,908","21,366","45,656","1,696,831","967,848","970,019"
2008,4,30,New Hampshire,NH,71.70%,72.50%,0.7,69.6,D,,"1,021,787",2.60%,"2,702",0,0,"2,702","25,558","992,226","710,970","719,643"
2008,12,31,New Jersey,NJ,67.00%,67.70%,0.58,58.2,D,,"6,651,284",11.70%,"25,953","128,737","15,849","98,246","110,559","5,776,527","3,868,237","3,910,220"
2008,66,32,New Mexico,NM,60.90%,61.20%,0.55,55.1,D,,"1,505,830",8.30%,"6,402","20,883","3,724","18,706","31,444","1,362,629","830,158","833,365"
2008,13,33,New York,NY,59.00%,59.60%,0.51,51.4,D,,"14,876,971",12.40%,"60,347",0,"52,225","86,460","263,787","12,948,969","7,640,640","7,721,718"
2008,47,34,North Carolina,NC,65.50%,66.10%,0.61,60.7,D,,"7,096,503",5.90%,"39,482","109,678","3,409","96,026","133,483","6,584,302","4,310,789","4,354,571"
2008,36,35,North Dakota,ND,62.70%,63.60%,0.62,61.7,R,,"512,768",1.30%,"1,452",0,0,"1,452","11,179","504,762","316,621","321,133"
2008,24,36,Ohio,OH,66.90%,67.80%,0.65,65.1,D,,"8,757,453",2.20%,"51,686",0,0,"51,686","174,703","8,513,079","5,698,260","5,773,777"
2008,53,37,Oklahoma,OK,55.80%,56.30%,0.53,52.8,R,,"2,770,219",4.00%,"25,864","27,940","3,073","41,371","57,046","2,619,121","1,462,661","1,474,694"
2008,72,38,Oregon,OR,67.70%,68.30%,0.63,62.7,D,,"2,916,246",6.90%,"14,167",0,0,"14,167","63,480","2,700,327","1,827,864","1,845,251"
2008,14,39,Pennsylvania,PA,63.60%,64.20%,0.61,61.3,D,,"9,813,664",3.10%,"49,215",0,0,"49,215","203,791","9,457,942","6,012,692","6,071,357"
2008,5,40,Rhode Island,RI,61.80%,62.30%,0.57,57.1,D,,"825,786",7.00%,"4,045",0,0,"4,045","13,827","763,608","471,766","475,428"
2008,48,41,South Carolina,SC,58.00%,58.20%,0.55,55.3,R,,"3,473,488",3.40%,"24,326","41,254","1,947","45,927","72,241","3,311,044","1,920,969","1,927,153"
2008,37,42,South Dakota,SD,64.70%,65.60%,0.63,63.4,R,,"602,539",1.20%,"3,342",0,"2,720","4,702","20,144","590,720","381,975","387,449"
2008,54,43,Tennessee,TN,57.00%,57.40%,0.55,54.5,R,,"4,771,926",3.10%,"27,228","58,109","10,578","61,572","127,930","4,563,192","2,599,749","2,618,238"
2008,49,44,Texas,TX,54.10%,,0.46,45.5,R,,"17,756,112",13.50%,"172,506","427,080","102,921","437,507","549,216","14,929,810","8,077,795",
2008,67,45,Utah,UT,56.00%,57.10%,0.52,51.8,R,,"1,840,087",7.20%,"6,552",0,0,"6,552","31,783","1,700,286","952,370","971,185"
2008,6,46,Vermont,VT,67.30%,67.70%,0.66,66,D,,"492,610",2.00%,0,0,0,0,"10,546","482,677","325,046","326,822"
2008,40,47,Virginia,VA,67.00%,67.60%,0.62,61.8,D,,"6,022,123",6.60%,"38,276","53,614","4,471","67,319","124,689","5,555,415","3,723,260","3,753,059"
2008,73,48,Washington,WA,66.60%,67.30%,0.6,60.3,D,,"5,032,960",7.80%,"17,926","113,134","11,768","80,377","138,296","4,561,163","3,036,878","3,071,587"
2008,56,49,West Virginia,WV,49.90%,51.20%,0.49,49.1,R,,"1,453,045",0.80%,"6,059","8,283","2,005","11,203","33,788","1,430,439","713,362","731,691"
2008,25,50,Wisconsin,WI,72.40%,72.70%,0.69,69.3,D,,"4,306,876",3.00%,"23,379","50,418","18,105","57,641","78,721","4,120,694","2,983,417","2,997,086"
2008,68,51,Wyoming,WY,62.80%,63.10%,0.61,60.9,R,,"418,040",1.70%,"2,084","5,438",727,"5,167","13,832","405,732","254,658","256,035"
2006,0,0,United States,USA,40.40%,41.30%,0.37,37.2,,,"225,485,399",8.60%,"1,566,526","2,418,574","587,305","3,363,118","4,417,527","207,643,594","83,815,592","85,769,132"
2006,41,1,Alabama,AL,37.50%,,0.36,35.9,,,"3,513,952",2.30%,"28,241","55,766","7,795","63,919",,"3,338,467","1,250,401",
2006,81,2,Alaska,AK,51.00%,51.20%,0.48,47.8,,,"492,452",4.50%,"5,069","6,095",973,"9,090",,"465,169","237,322","238,307"
2006,61,3,Arizona,AZ,38.90%,39.60%,0.33,33.3,,,"4,490,327",12.60%,"35,892","73,265","6,213","78,738",,"3,923,786","1,526,782","1,553,032"
2006,42,4,Arkansas,AR,38.70%,38.90%,0.36,36.4,,,"2,130,080",3.30%,"13,729","31,508","16,666","46,149",,"2,004,193","774,680","780,409"
2006,71,5,California,CA,40.20%,41.20%,0.32,32.2,,,"26,739,781",18.90%,"175,512",0,"111,744","287,256",,"21,582,217","8,679,416","8,899,059"
2006,62,6,Colorado,CO,47.30%,48.10%,0.43,43.1,,,"3,569,901",8.00%,"22,481",0,"8,196","30,677",,"3,297,308","1,558,405","1,586,105"
2006,1,7,Connecticut,CT,46.60%,47.70%,0.43,42.5,,,"2,683,538",7.90%,"20,566",0,"2,571","23,137",,"2,437,559","1,134,780","1,162,391"
2006,11,8,Delaware,DC,42.30%,42.90%,0.39,39,,,"659,410",5.30%,"7,206","16,958",600,"16,285",,"601,341","254,099","258,053"
2006,55,9,District of Columbia,DE,28.30%,28.70%,0.26,25.5,,,"466,827",9.70%,0,0,0,0,,"426,612","120,620","122,356"
2006,43,10,Florida,FL,39.60%,40.10%,0.34,34.3,,,"14,211,669",11.80%,"92,969","272,977","4,785","234,243",,"12,187,858","4,829,270","4,884,544"
2006,44,11,Georgia,GA,34.70%,35.10%,0.31,30.7,,,"6,799,654",7.40%,"52,792","422,790","22,851","287,038",,"6,115,331","2,122,258","2,143,845"
2006,82,12,Hawaii,HI,37.90%,38.40%,0.35,34.6,,,"1,012,975",8.10%,"5,967",0,0,"5,967",,"908,925","344,315","348,988"
2006,63,13,Idaho,ID,45.40%,46.20%,0.42,42,,,"1,072,895",4.40%,"7,124","48,609","2,482","33,911",,"993,010","450,832","458,927"
2006,21,14,Illinois,IL,40.20%,41.40%,0.36,36.3,,,"9,483,856",9.20%,"45,106",0,0,"45,106",,"8,667,453","3,486,671","3,586,292"
2006,22,15,Indiana,IN,36.60%,37.70%,0.35,35.2,,,"4,743,856",3.10%,"26,091",0,0,"26,091",,"4,559,294","1,666,922","1,719,351"
2006,31,16,Iowa,IA,48.10%,49.20%,0.46,46.3,,,"2,267,991",2.80%,"8,875","22,622","3,560","23,746",,"2,178,322","1,048,033","1,071,509"
2006,32,17,Kansas,KS,43.60%,44.30%,0.41,41.1,,,"2,062,668",4.70%,"8,816","15,518","4,666","21,241",,"1,948,850","849,700","864,083"
2006,51,18,Kentucky,KY,40.40%,44.20%,0.39,39,,,"3,218,000",1.90%,"20,000","41,162","10,162","50,743",,"3,100,828","1,253,526","1,370,062"
2006,45,19,Louisiana,LA,29.70%,31.40%,0.28,28.3,,,"3,239,317",2.00%,"37,012","38,057","24,072","80,113",,"3,043,573","902,498","954,896"
2006,2,20,Maine,ME,54.20%,,0.53,53.3,,,"1,037,200",1.70%,0,0,0,0,,"1,016,287","550,865",
2006,52,21,Maryland,MD,46.70%,47.20%,0.42,42.2,,,"4,261,205",7.90%,"22,945","75,698","14,271","75,065",,"3,833,349","1,788,316","1,809,237"
2006,3,22,Massachusetts,MA,48.80%,49.30%,0.44,44.4,,,"4,970,780",8.70%,"11,032",0,0,"11,032",,"4,552,794","2,219,779","2,243,835"
2006,23,23,Michigan,MI,52.10%,52.80%,0.5,49.9,,,"7,532,918",3.60%,"51,577",0,0,"51,577",,"7,292,624","3,801,256","3,852,008"
2006,33,24,Minnesota,MN,60.10%,60.50%,0.56,56.4,,,"3,896,561",4.20%,"9,108","127,289","4,007","76,760",,"3,667,707","2,202,987","2,217,552"
2006,46,25,Mississippi,MS,29.40%,,0.29,28.5,,,"2,154,112",1.30%,"21,068","24,107","1,970","35,092",,"2,077,420","610,921",
2006,34,26,Missouri,MO,50.00%,51.20%,0.48,48.1,,,"4,427,266",2.20%,"30,167","54,963","18,374","76,023",,"4,253,541","2,128,459","2,178,278"
2006,64,27,Montana,MT,56.40%,57.10%,0.56,55.6,,,"734,669",1.00%,"3,572",0,0,"3,572",,"720,447","406,505","411,061"
2006,35,28,Nebraska,NE,47.60%,48.80%,0.45,45.1,,,"1,325,932",4.30%,"4,407","18,731",662,"14,435",,"1,251,027","596,087","610,499"
2006,65,29,Nevada,NV,36.90%,37.10%,0.31,31.1,,,"1,907,976",14.40%,"12,901","13,208","3,518","23,023",,"1,579,222","582,572","586,274"
2006,4,30,New Hampshire,NH,41.40%,42.90%,0.4,39.9,,,"1,006,234",3.40%,"2,805",0,0,"2,805",,"975,281","403,531","418,550"
2006,12,31,New Jersey,NJ,39.50%,40.60%,0.34,34.1,,,"6,565,183",12.00%,"27,371","132,636","13,874","107,563",,"5,701,033","2,250,070","2,315,643"
2006,66,32,New Mexico,NM,42.50%,43.10%,0.39,38.6,,,"1,464,560",8.00%,"6,639","16,493","2,831","17,717",,"1,320,285","561,084","568,597"
2006,13,33,New York,NY,34.90%,36.50%,0.3,30.3,,,"14,665,626",12.40%,"63,315",0,"53,533","116,848",,"12,878,632","4,490,053","4,703,830"
2006,47,34,North Carolina,NC,31.00%,32.50%,0.29,28.7,,,"6,799,585",5.80%,"37,460","110,419","3,101","95,771",,"6,264,630","1,940,808","2,036,451"
2006,36,35,North Dakota,ND,44.90%,45.40%,0.44,44.1,,,"503,647",1.50%,"1,363",0,0,"1,363",,"486,142","218,152","220,479"
2006,24,36,Ohio,OH,47.50%,49.50%,0.46,46.3,,,"8,687,609",2.20%,"49,166",0,0,"49,166",,"8,461,211","4,022,754","4,184,072"
2006,53,37,Oklahoma,OK,36.40%,,0.34,34.3,,,"2,709,819",3.90%,"26,243","27,415","4,329","44,280",,"2,547,224","926,462",
2006,72,38,Oregon,OR,52.50%,53.20%,0.48,48.4,,,"2,829,482",7.30%,"13,707",0,0,"13,707",,"2,628,937","1,379,475","1,399,650"
2006,14,39,Pennsylvania,PA,44.10%,,0.43,42.6,,,"9,680,466",3.00%,"44,397",0,0,"44,397",,"9,283,762","4,096,077",
2006,5,40,Rhode Island,RI,51.00%,52.10%,0.47,46.7,,,"824,887",8.10%,"3,996",0,0,"3,996",,"754,219","384,993","392,882"
2006,48,41,South Carolina,SC,34.60%,35.40%,0.33,33.1,,,"3,332,190",3.20%,"23,616","38,353","3,072","45,865",,"3,152,046","1,091,952","1,117,311"
2006,37,42,South Dakota,SD,57.80%,58.80%,0.56,56.4,,,"589,178",1.40%,"3,359",0,"2,444","5,803",,"580,592","335,508","341,105"
2006,54,43,Tennessee,TN,41.40%,42.10%,0.4,39.5,,,"4,641,909",3.10%,"25,745","52,558","8,630","60,654",,"4,433,921","1,833,695","1,868,363"
2006,49,44,Texas,TX,30.90%,,0.26,25.8,,,"17,029,802",13.40%,"172,116","431,967","101,916","490,016",,"14,255,313","4,399,068",
2006,67,45,Utah,UT,34.30%,35.00%,0.32,31.8,,,"1,752,158",7.10%,"6,430",0,0,"6,430",,"1,664,323","571,252","582,561"
2006,6,46,Vermont,VT,54.90%,55.00%,0.54,53.8,,,"487,141",2.00%,0,0,0,0,,"478,247","262,726","263,025"
2006,40,47,Virginia,VA,44.00%,44.50%,0.41,40.6,,,"5,867,219",6.70%,"36,688","48,144","4,499","65,259",,"5,385,522","2,370,445","2,398,589"
2006,73,48,Washington,WA,47.30%,47.30%,0.43,42.7,,,"4,861,001",8.00%,"17,561","108,076","11,568","83,167",,"4,403,981","2,083,734","2,085,074"
2006,56,49,West Virginia,WV,32.80%,33.80%,0.32,32.3,,,"1,439,052",0.70%,"5,733","7,668","1,416","10,983",,"1,401,490","459,884","473,014"
2006,25,50,Wisconsin,WI,53.20%,53.70%,0.51,50.8,,,"4,240,696",2.90%,"23,431","55,806","15,907","67,241",,"4,064,432","2,161,700","2,183,155"
2006,68,51,Wyoming,WY,51.10%,51.80%,0.49,49.4,,,"400,187",2.00%,"2,114","5,225",609,"5,336",,"379,127","193,892","196,217"
2004,0,0,United States,USA,60.10%,60.70%,0.55,55.4,,,"220,336,019",8.20%,"1,490,169","2,387,283","474,632","3,158,443","3,862,836","203,483,455","122,294,978","123,535,883"
2004,41,1,Alabama,AL,57.20%,57.40%,0.55,55.2,R,,"3,427,542",1.90%,"26,521","36,795","7,745","52,664",,"3,292,608","1,883,415","1,890,317"
2004,81,2,Alaska,AK,69.10%,69.60%,0.65,65.2,R,,"476,378",4.00%,"4,515","5,547",951,"8,240",,"452,124","312,598","314,502"
2004,61,3,Arizona,AZ,54.10%,54.80%,0.47,47,R,,"4,215,706",11.50%,"31,631","69,343","5,671","71,974",,"3,717,055","2,012,585","2,038,069"
2004,42,4,Arkansas,AR,53.60%,54.40%,0.51,51,R,,"2,072,986",2.80%,"13,477","29,128","14,844","42,885",,"1,969,208","1,054,945","1,070,573"
2004,71,5,California,CA,58.80%,59.60%,0.47,47.1,D,,"26,246,548",18.80%,"166,053",0,"110,261","276,314",,"21,132,533","12,421,852","12,589,367"
2004,62,6,Colorado,CO,66.70%,67.30%,0.61,61.2,R,,"3,443,164",7.50%,"19,756",0,"7,383","27,139",,"3,192,647","2,129,630","2,148,036"
2004,1,7,Connecticut,CT,65.00%,66.20%,0.6,59.7,D,,"2,652,587",7.30%,"20,018",0,"2,552","22,570",,"2,429,634","1,578,769","1,607,808"
2004,11,8,Delaware,DC,64.20%,64.50%,0.59,59.4,D,,"635,370",4.70%,"6,973","18,725",539,"16,875",,"584,817","375,190","377,407"
2004,55,9,District of Columbia,DE,54.30%,54.90%,0.49,48.9,D,,"458,758",10.00%,0,0,0,0,,"419,142","227,586","230,105"
2004,43,10,Florida,FL,64.40%,64.70%,0.56,56.1,R,,"13,643,828",11.20%,"84,733","281,170","4,888","230,206",,"11,811,921","7,609,810","7,640,319"
